data,patrimonio_gerida,patrimonio_funcef,patrimonio_total,patrimonio_rv,fluxo_gerida,fluxo_funcef,fluxo_total,fluxo_rv,twr_gerida,twr_total,twr_rv,cdi_acum,ipca_acum,ibov_acum,sp500_brl_acum,nasdaq_brl_acum,ouro_brl_acum,drawdown
2026-02-27,101968.44289178189,1217755.9252233596,1319724.3681151415,13822.636276245117,0.0,6466.87,6466.87,740.0,0.3459069039932827,0.045656244278029945,0.1500105349144072,0.0217278505721874,0.0,0.1759572440341599,-0.06617989838223615,-0.07804197182627393,0.13093516181331943,-0.0758737756854679
2026-03-02,101559.27999297908,1217755.9252233596,1319315.2052163386,19269.290077209473,0.0,0.0,0.0,5479.0,0.34050626086547653,0.04533205253739303,0.1480833164587776,0.022291139353486367,0.0,0.1791963323553778,-0.06708098933025097,-0.07809732055060048,0.14432788385129447,-0.07958196376873128
2026-03-03,101429.06135103779,1217755.9252233596,1319184.9865743974,19619.809051513672,0.0,0.0,0.0,710.0,0.3387874725399216,0.0452288764959734,0.1274262177035208,0.022854738681523434,0.0,0.1405639751088521,-0.06855932025709321,-0.08091483149957912,0.10216014339331436,-0.08076211773107318
2026-03-04,101638.02001098274,1217755.9252233596,1319393.9452343422,19770.80381011963,0.0,0.0,0.0,0.0,0.34154556999726515,0.04539444055832331,0.13610293056760625,0.023418648727506097,0.0,0.15464778029014759,-0.04190925512282506,-0.04771648921153737,0.13353108688674142,-0.07886835362154673
2026-03-05,105350.71686229597,1217755.9252233596,1323106.6420856556,23611.790912628174,0.0,0.0,0.0,4105.0,0.3905503815144893,0.04833611894169043,0.12354017754227953,0.023982869662736217,0.0,0.1241131438466665,-0.05584000671792122,-0.05898927965504697,0.11025848373929104,-0.04522068355886043
2026-03-06,104462.53535205893,1217755.9252233596,1322218.4605754185,23494.048610687256,0.0,0.0,0.0,0.0,0.3788270522890358,0.04763238673467041,0.11793754420894009,0.024547401658610024,0.0,0.11726745526009252,-0.06244379472165851,-0.06728181412955281,0.13440563120640414,-0.05327015261305044
2026-03-09,111088.45132948879,1217755.9252233596,1328844.3765528484,30244.250831604004,960.0199999999993,0.0,960.0199999999993,6966.8,0.4529315987311775,0.052118384816534524,0.1099882322142478,0.025112244886618562,0.0,0.12692243006372284,-0.05823232171812409,-0.05858277053800576,0.1277860029765019,0.0
2026-03-10,114297.79750090197,1217755.9252233596,1332053.7227242617,33057.70421028137,2400.0,0.0,2400.0,2400.0,0.4632932224292954,0.05275803295448922,0.12404670723542366,0.02567739951834702,0.0,0.14269429858165306,-0.0670895026824071,-0.06584474464206758,0.13194772742571503,0.0
2026-03-11,111606.46328496847,1217755.9252233596,1329362.388508328,33140.98251914978,0.0,0.0,0.0,0.0,0.4288375180887416,0.05063099883652966,0.12687838327294343,0.026242865725475628,0.0,0.1459458449348756,-0.07555316017798686,-0.0732266993847207,0.11917684491604974,-0.02354668484239394
2026-03-12,110263.2953756728,1217755.9252233596,1328019.2205990325,31920.885721206665,0.0,0.0,0.0,0.0,0.41164166181477113,0.04956945696175774,0.08539196366217361,0.026808643679778754,0.0,0.11676913397990529,-0.09157008946608924,-0.0911831940241109,0.0950401897271358,-0.03529816158703617
2026-03-13,109655.68104272557,1217755.9252233596,1327411.606266085,31470.978408813477,0.0,0.0,0.0,0.0,0.4038627023361727,0.04908924294408257,0.07009396142221713,0.02737473355312603,0.0,0.10660337986408286,-0.08086122949926522,-0.08062806843046777,0.09990238349228253,-0.040614224942871445
2026-03-16,110200.63526558284,1217755.9252233596,1327956.5604889425,36739.70574569702,2399.42,0.0,2399.42,4843.4,0.3806293527334903,0.047626253045682576,0.08262729490525444,0.02794113551748123,0.0,0.12044425342128706,-0.0564645347983046,-0.05516708463800968,0.11718094533237067,-0.035846379588257614
2026-03-17,110447.23276359992,1217755.9252233596,1328203.1579869594,36950.15300178528,0.0,0.0,0.0,0.0,0.3837188062856638,0.04782079405744799,0.0888286495147903,0.02850784974490339,0.0,0.12377677698253997,-0.0710974398014036,-0.06742724929837818,0.09409455846281034,-0.033688879589054734
2026-03-18,109953.1116061955,1217755.9252233596,1327709.0368295552,36744.95801925659,0.0,0.0,0.0,0.0,0.377528295930845,0.047430981384289916,0.08278206627863627,0.029074876407546357,0.0,0.1189804346607366,-0.09082822044249583,-0.08791295910608543,0.05158285085217762,-0.038011982642729314
2026-03-19,109068.9190996438,1217755.9252233596,1326824.8443230034,36646.63856315613,0.0,0.0,0.0,0.0,0.3664508450153372,0.04673344103532795,0.07988483766359566,0.02963331417997761,0.0,0.12291094375821454,-0.08124512587731636,-0.07840020331740405,0.02174203512306372,-0.045747849176331776
2026-03-20,111043.23468384604,1217755.9252233596,1328799.1599072057,35700.81009674072,0.0,0.0,0.0,0.0,0.39118571192912244,0.04829098056587244,0.05201363692161309,0.030192054994250483,0.0,0.09767097091672428,-0.10240993817950306,-0.10295005351453868,-0.01742573531293301,-0.028474414102601167
2026-03-23,112078.3391728879,1217755.9252233596,1329834.2643962475,37157.44715881348,0.0,0.0,0.0,0.0,0.40415383717879383,0.04910757552811007,0.09493709017641394,0.030751099014813654,0.0,0.13325733933810469,-0.07612857185646471,-0.07604548266361433,-0.02277377356316601,-0.01941820731931908
